Mecanismo que origina la comisión,Quien invita o que UR solicita,Unidad Responsable que genera la nota de viaje area sustantiva,Tipo de representacion requerida,Numero de comision,Servidor publico comisionado,Cargo,Grupo jerarquico,Tipo de viaje,No de acuerdo de autorización del pleno,No de oficio de comisión,Pais de origen,Estado de origen,Ciudad de origen,Pais de destino,Estado o equivalente de destino,Ciudad de destino,Tarifa diaria de viaticos por dia,Moneda,Tema,Tipo de comisión,Nombre del evento o actividad principal a la que se asiste,URL del evento,Fecha de inicio de participacion en el evento o actividad,Fecha de fin de participacion en el evento o actividad,Motivo de la comision,Antecedentes,Actividades realizadas,Resultados obtenidos,Contribuciones para el IFAI,Link al comunicado,Institucion que cubre pasaje,Tipo de pasaje,Aerolinea de vuelo de ida,Numero de vuelo de ida,Aerolineas de vuelo de regreso,Numero de vuelo de regreso,Fecha de inicio de la comision,Fecha de termino de la comision,Gasto por concepto de pasajes en MN,Gasto por concepto de viaticos en MN,Institucion que cubre hospedaje,Nombre del hotel,Fecha de entrada,Fecha de salida,Costo total del hospedaje,Monto comprobado de viaticos,Monto sin comprobacion,Monto de viaticos devueltos,Observaciones
Requerimiento de UR,Dirección General de Asuntos Jurídicos,Dirección General de Asuntos Jurídicos,Técnico,2013.N.0034,OMAR CRUZ IBINARRIAGA,"JEFE DE DEPARTAMENTO DE CONSULTIVO ""A""",OC3,Nacional,No disponible,IFAI/DGAJ/0210/2013,México,Distrito Federal,Ciudad de México,México,Querétaro,Querétaro,1250,MXP,Supervisión; Vigilancia; Verificación y Sanciones,Seguimiento a averiguación previa,Seguimiento a averiguación previa,No aplica,08/05/2013,09/05/2013,SEGUIMIENTO A LA AVERIGUACION PREVIA AP/PGR/QRO/QRO-11/125/2012,No disponible,Seguimiento a la averiguación previa AP/PGR/QRO/QRO-II/125/2012,Conocer el estado procesal actual de la indagatoria referida ante la Delegación Estatal en Querétaro de la PGR y las diligencias pendientes por cumplimentarse,No disponible,No aplica,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,08/05/2013,09/05/2013,697.55,934,IFAI,Hotel Real de Minas Inn,08/05/2013,09/05/2013,700,1581.55,50,No disponible,No aplica
Invitación,Instituto de Transparencia y Acceso a la Información Publica del Estado de Nayarit,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0035,MARIO ERNESTO MEJIA PACHON,SUBDIRECTOR DE OTROS SUJETOS OBLIGADOS,NC3,Nacional,No aplica,IFAI/SG/DGCPRI/274/2013,México,Distrito Federal,Ciudad de México,México,Nayarit,Tepic,1250,MXP,Vinculación con Estados y Municipios,Participar como Testigo de honor en convenio de colaboración,La Transparencia que viene; la tercera generación de reformas,No disponible,13/05/2013,13/05/2013,"PARTICIPAR EN EL EVENTO DENOMINADO ""LA TRANSPARENCIA QUE VIENE; LA TERCERA GENERACION DE REFORMAS"" EL CUAL SE LLEVA ACABO EN LA CIUDAD DE TEPIC; NAYARIT.",No disponible,Se firmo como testigo de honor en el Convenio General de Colaboración celebrado entre la Universidad Autónoma de Nayarit y el Instituto de Transparencia y Acceso a la Información Publica del Estado de Nayarit,Se participo como testigo de honor en el evento. Se entrego material de difusión del derecho de acceso a la información a la Universidad Autónoma de Nayarit,Cumplimiento con la atribución del IFAI señalada en el articulo 37 de la LFTAIPG,No disponible,No disponible,Aéreo,Aeromar,VW 0140H,Aeromar,VW 0143N,13/05/2013,13/05/2013,7336,625,No aplica,No aplica,No aplica,No aplica,No aplica,570,50,No disponible,No aplica
Invitación,IACIP,Dirección General de Normatividad; Consulta y Atención Regional,Técnico,2013.N.0036,ALEJANDRO IVAN HERRERA ROSAS,SUBDIRECTOR DE ATENCION REGIONAL SUR,NC1,Nacional,No aplica,IFAI/SPDP/DGNCAR/136/13,México,Distrito Federal,Ciudad de México,México,Guanajuato,"León
San Miguel de Allende
Celaya
Irapuato",1250,MXP,Normatividad de Datos Personales,Impartir capacitación,No disponible,No disponible,08/05/2013,09/05/2013,COADYUVAR EN LA DIFUSION; ACTUALIZACION E IMPULSO A LOS PARTICIPANTES DE LA LEY FEDERAL DE PROTECCION DE DATOS PERSONALES EN POSESION A LOS PARTICULARES. EVENTO ORGANIZADO POR EL IACIP.,No disponible,Brindar platica en materia de protección de datos personales en posesión de particulares a directores generales y gerentes de empresas de giros comercial e industrial y a la comunidad universitaria,Promover y difundir los alcances del derecho a la protección de datos personales entre los asistentes. Mayor acercamiento con el IACIP,No disponible,No disponible,IACIP,Aéreo,Aeroméxico,AM 164,Aeroméxico,AM 165,08/05/2013,09/05/2013,No disponible,470.05,IACIP,No disponible,No disponible,No disponible,No disponible,470.05,0,779.95,No aplica
Requerimiento de UR,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0037,MARIO ERNESTO MEJIA PACHON,SUBDIRECTOR DE OTROS SUJETOS OBLIGADOS,NC3,Nacional,No aplica,IFAI/SG/DGCPRI/306/2013,México,Distrito Federal,Ciudad de México,México,Yucatán,Mérida,1250,MXP,Capacitación y Cultura de la Transparencia,Asistencia a capacitador,Foro de Análisis Nacional: La Reforma Constitucional en Materia de Transparencia y Acceso a la Información Publica en México,No disponible,24/05/2013,24/05/2013,"COORDINAR LA PARTICIPACION DEL COMISIONADO PRESIDENTE GERARDO LAVEAGA R. EN EL FORO ""LA REFORMA EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México""",No disponible,"Se coordino la participación del Comisionado Presidente GLR en la mesa ""La Transparencia y el Derecho de Acceso a la Información"" como mecanismo anticorrupción",El Comisionado Presidente expuso quien gana y quien pierde con la transparencia,Se cumplió con la atribución del IFAI señalada en el articulo 37 fracción XV de la LFTAIPG,No disponible,No disponible,Aéreo,Aeroméxico,AM 420,Aeroméxico,AM 526,24/05/2013,24/05/2013,5302,552,No aplica,No aplica,No aplica,No aplica,No aplica,552,62,73,No aplica
Invitación,eCOM-LAC,Oficina del Comisionado Presidente,Alto nivel,2013.I.0018,ALFONSO OÑATE LABORDE,SECRETARIO DE PROTECCION DE DATOS PERSONALES,IA1,Internacional,No aplica,IFAI/DTP/GLR/074/2013,México,Distrito Federal,Ciudad de México,Estados Unidos de América,Florida,Miami,450,USD,Protección de Datos,Participación en evento publico,III Foro Anual Latinoamericano de Telecomunicaciones; Tecnología y Políticas Publicas de Internet,No disponible,15/05/2013,18/05/2013,PARTICIPAR COMO PONENETE EN EL FORO LATINOAMERICANO DE TELECOMUNICACIONES; TECNOLOGIA Y POLITICAS PUBLICAS DE INTERNET,"Participar como ponente en el III Foro Anual Latinoamericano de Telecomunicaciones; Tecnología y Políticas Publicas de internet organizado por eCOM-LAC (Federación Latinoamericana y del Caribe para Internet y el Comercio Electrónico); en el panel ""Privacidad y Protección de Datos"".  ","Participar en el panel: ""Privacidad y Protección de Datos""; en el cual se abordaron temas de la protección de datos en internet como la tendencia en temas de propiedad intelectual; privacidad y protección de datos; gobierno electrónico y la gobernanza de internet; entre otros. Adicionalmente a las actividades propias del evento se aprovecho para una vez terminado este sostener las siguientes reuniones:
 - Reunión con el Cónsul Vladimir Hernández Lara y el Viceconsul Protección Manuel Hernández C. del Consulado General de México.
 - Reunión con Jorge Abin; Director AGESIC sobre el ""Plan Ceibal"" para dotar de computadoras a niños de escuelas en Uruguay; y la campaña de difusión a la infancia sobre protección de datos.
 - Reunión con la Dip. Laura Alonso de Argentina; y el Dip. de la Republica de Chile Gonzalo Arenas; para explicar el procedimiento de Reformas Constitucionales del IFAI y los escenarios para el órgano garante de protección de datos en México.
 - Reunión y Pedro Leff; Director Juridico para Latinoamérica de Google; en relación con; procedimiento para dar de baja paginas de internet por determinación de una autoridad; especialmente relacionados con la pagina que utiliza las siglas del IFAI y el generador de avisos de privacidad.
 - Reunión con Laura Juanes; Directora Internacional para Latinoamérica en materia de privacidad; de Yahoo!!. ",El sector de las Telecomunicaciones constituye uno de los estratégicos y prioritarios para la Protección de Datos Personales. Este Foro permitió concientizar a los responsables sobre la necesidad de aprovechar la protección de datos personales como una herramienta de desarrollo.,"Se efectuó satisfactoriamente la presentación del panel; reforzando la presencia del IFAI en el Foro Anual Latinoamericano de Telecomunicaciones; Tecnología y Políticas Publicas de Internet y con ello discutir los retos y las ultimas tendencias y temas de la privacidad.
Se analizaron como hacer frente a los temas de Telecomunicaciones; Tecnología y Políticas Publicas de Internet; en la actual situación que se vive hoy en día; en donde los recursos son limitados. Una de las principales dudas a resolver es como aprovechar los recursos públicos y privados para controlar el riesgo y mitigar los daños.
Se establecieron contactos con algunos interlocutores mas importantes en torno al tema de Telecomunicaciones; Tecnología; así como de la protección de datos y privacidad.  ",No disponible,eCOM-LAC,Aéreo,American Airlines,2100,American Airlines,2199,15/05/2013,18/05/2013,No aplica,15622.36,IFAI,Conrad,15/05/2014,18/05/2014,7920,15519.63,102.67,630.7,No aplica
Invitación,CEFAB,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0038,SARAI CRUZ GARCIA,JEFA DE DEPARTAMENTO DE PROGRAMACION DE CAPACITACION DE ACCESO,OC1,Nacional,No aplica,IFAI/SG/DGCPRI/323/2013,México,Distrito Federal,Ciudad de México,México,Baja California,Ensenada,1250,MXP,Capacitación y Cultura de la Transparencia,Impartir capacitación,Capacitación,No disponible,30/05/2013,31/05/2013,CAPACITAR A LAS INSTITUCIONES ASOCIADAS AL CONSEJO ESTATAL PARA EL FOMENTO A LAS ACTIVIDADES DE BIENESTAR Y DESARROLLO SOCIAL DEL  ESTADO DE BAJA CALIFORNIA EN MATERIA DE LA LEY FEDERAL DE PROTECCION DE DATOS PERSONALES EN POSESION DE LOS PARTICULARES A TRAVES DE UN CURSO PRESENCIAL DE 5 HORAS,No disponible,Capacitar a las instituciones asociadas al Consejo Estatal para el fomento a las actividades de bienestar y desarrollo social del Estado de BC en materia de la LFPDP,La intervención se llevo a cabo en la atención a lo solicitado por la CEFAB de Ensenada,Apoyaren las tareas del IFAI relativas a la promoción del derecho a la Protección de Datos Personales,No disponible,No disponible,Aéreo,No disponible,No disponible,Volaris,Y4 812,30/05/2013,31/05/2013,No disponible,1026,IFAI,Hotel California,30/05/2013,31/05/2013,480,901,125,224,No aplica
Requerimiento de UR,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0039,MARIO ERNESTO MEJIA PACHON,SUBDIRECTOR DE OTROS SUJETOS OBLIGADOS,NC3,Nacional,No aplica,IFAI/SG/DGCPRI/364/2013,México,Distrito Federal,Ciudad de México,México,México,Toluca,1250,MXP,Vinculación con Estados y Municipios,Logística,XIV Asamblea Plenaria de la COMAIP,No disponible,12/06/2013,12/06/2013,PARTICIPAR EN LA REUNION DE COORDINACION CON SERVIDORES PUBLICOS DEL IFAI PARA LA LOGISTICA DE LA XIV ASAMBLEA PLENARIA DE LA CONFERENCIA MEXICANA PARA EL ACCESO A LA INFORMACION PUBLICA (COMAIP),No disponible,Participación en la reunión de coordinación con el Instituto de Acceso a la Información Publica y Protección de Datos Personales del Estado de México y Municipios,Se establecieron las bases de coordinación para la celebración de la Asamblea,Se cumplió con la atribución del IFAI señalada en el articulo 37 fracción XV de la LFTAIPG,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,12/06/2013,12/06/2013,No disponible,171,No aplica,No aplica,No aplica,No aplica,No aplica,108.5,62.5,454,No aplica
Requerimiento de UR,Órgano Interno de Control,Órgano Interno de Control,Alto nivel,2013.N.0040,ELEAZAR PABLO MORENO MORENO,TITULAR DEL ORGANO INTERNO DE CONTROL,KA2,Nacional,No aplica,IFAI/OIC/068/2013,México,Distrito Federal,Ciudad de México,México,Morelos,Cuernavaca,1650,MXP,Capacitación y Cultura de la Transparencia,Recibir capacitación,L Reunión Nacional de Contralores Estado Federación,No disponible,05/06/2013,07/06/2013,Asistir a la L Reunión Nacional de la Comisión Nacional Permanente de Contralores Estado Federación,No disponible,No disponible,No disponible,No disponible,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,05/06/2013,07/06/2013,190,3300,IFAI,Holliday Inn,05/06/2013,07/06/2013,3492.72,3682.76,0,No disponible,No aplica
Requerimiento  de UR,Dirección General de Capacitación; Promociones y Relaciones Institucionales,Dirección General de Capacitación; Promociones y Relaciones Institucionales,Técnico,2013.N.0041,ANTOLIN SOTELO SANCHEZ,SUBDIRECTOR DE ESTADOS Y MUNICIPIOS,NC3,Nacional,No aplica,IFAI/SG/DGCPRI/363/2013,México,Distrito Federal,Ciudad de México,México,México,Toluca,1250,MXP,Capacitación y Cultura de la Transparencia,Asistencia a capacitador,Foro de Análisis Nacional: La Reforma Constitucional en Materia de Transparencia y Acceso a la Información Publica en México,No disponible,12/06/2013,12/06/2013,ASISTIR A LA REUNION CON PERSONAL DEL (INFOEM) CON EL FIN DE REALIZAR LOS PREPARATIVOS DE LOGISTICA RUMBO A LA CELEBRACION DE LA XIV ASAMBLEA GENERAL DE LA (COMAIP),No disponible,Reunión con personal del Infoem a fin de afinar detalles logísticos de la XIV Asamblea General de la COMAIP; así como de personal del Hotel Rey Inn,Garantizar la realización normal del evento de la XIV Asamblea General de la COMAIP ,Dar cumplimiento al articulo 37; fracción XV; de la LFTAIP,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,12/06/2013,12/06/2013,498.5,126.5,No aplica,No aplica,No aplica,No aplica,No aplica,625,0,No disponible,No aplica
Requerimiento de UR,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0042,JESUS SANTIAGO MATHEUS PEÑA,JEFE DE DEPARTAMENTO DE APOYO A ESTADOS Y MUNICIPIOS,OC1,Nacional,No aplica,IFAI/SG/DGCPRI/263/2013,México,Distrito Federal,Ciudad de México,México,Jalisco,Guadalajara,1250,MXP,Capacitación y Cultura de la Transparencia,Recibir capacitación,VII Foro de Análisis Nacional sobre la Reforma Constitucional en materia de Transparencia y Acceso a la Información Publica en México,No disponible,03/05/2013,03/05/2013,"ASISTIR AL SEPTIMO FORO DE ANALISIS ""LA REFORMA CONSTITUCIONAL EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México""",No disponible,No disponible,Asistencia al foro y elaboración de escrito,No disponible,No disponible,IFAI,Aéreo,Aeroméxico,AM 100,Aeroméxico,AM 233,03/05/2013,03/05/2013,5606,625,IFAI,No disponible,No disponible,No disponible,No disponible,625,0,0,No aplica
Requerimiento de UR,Dirección General de Comunicación Social y Difusión,Dirección General de Comunicación Social y Difusión,Técnico,2013.N.0043,PALOMA ALCANTARA RODRIGUEZ,JEFA DE DEPARTAMENTO DE REDACCION A,OC2,Nacional,No aplica,IFAI/DGCSD/076/13,México,Distrito Federal,Ciudad de México,México,Tlaxcala,Tlaxcala,1250,MXP,Normatividad de Datos Personales,Cobertura informativa,Aniversario de la Ley de Protección de Datos Personales del Estado de Tlaxcala,No disponible,16/05/2013,16/05/2013,REALIZAR COBERTURA DE PARTICIPACION DEL COMISIONADO PRESIDENTE GERARDO LAVEAGA R. EN EL 1er ANIVERSARIO DE LA LEY FEDERAL DE PROTECCION DE DATOS PERSONALES EN POSESION DE LOS PARTICULARES,No disponible,Cobertura y grabación de la participación del Comisionado ,Difusión en medios de comunicación tanto locales como nacionales,Se logro que la presencia del Comisionado y del IFAI se fortalecieran en el Estado con una comunicación y difusión efectiva,No disponible,IFAI,No aplica,No aplica,No aplica,No aplica,No aplica,16/05/2013,16/05/2013,0,210,No aplica,No aplica,No aplica,No aplica,No aplica,150,60,No disponible,No aplica
Requerimiento de UR,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0044,JORGE SAUL LIMAS CASTRO,JEFE DE DEPARTAMENTO DE SEGUIMIENTO Y CONTROL DE CONVENIOS,OC2,Nacional,No aplica,IFAI/SG/DGCPRI/381/2013,México,Distrito Federal,Ciudad de México,México,Tlaxcala,Tlaxcala,1250,MXP,Vinculación con Estados y Municipios,Agenda de Comunicación Social,Comunicación Social de la COMAIP,No disponible,14/06/2013,14/06/2013,PARTICIPAR EN LA XXI SESION ORDINARIA DE LA COMISION DE COMUNICACION SOCIAL DE LA CONFERENCIA MEXICANA PARA EL ACCESO A LA INFORMACION PUBLICA,No disponible,"Se participó en reunión con los participantes de la Comisión de Comunicación Social de COMAIP; en la que se establecieron compromisos para que el IFAI sea un canal de distribución del cuadernillo y el ""ABC de protección de datos""",Se acordaron actividades y apoyos que el IFAI ofrecerá para contribuir a los trabajos de comunicación social de la COMAIP,Se cumplió con la atribución del IFAI señalada en el artículo 37 fracción XV de la LFTAIPG,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,14/06/2013,14/06/2013,854.01,108,No aplica,No aplica,No aplica,No aplica,No aplica,962.01,0,337.01,No aplica
Requerimiento de UR,Dirección Genral de Verificación,Dirección Genral de Verificación,Técnico,2013.N.0045,SERGIO RUBEN IBARRA CASAS,"SUBDIRECTOR DE INVESTIGACION ""B""",NC2,Nacional,No aplica,IFAI/SPDP/DGV/431/2013,México,Distrito Federal,Ciudad de México,México,Nuevo Leon,Monterrey,1250,MXP,Supervisión; Vigilancia; Verificación y Sanciones,Notificación,Notificación de oficios ,No disponible,27/05/2013,28/05/2013,CONTINUAR CON EL DESARROLLO DE LA INVESTIGACION QUE APERTURA EL EXPEDIENTE IFAI.3S.08.02-039/2013.,No disponible,Se cudió al domicilio de Soluciones Integrales de Crédito y Cobranza; S.A. de C.V. señalado por Radiomóvil Dipsa; S.A. de C.V.,Se efectuó diligencia de notificación de atento requerimiento.,Fomentar y contribuir a garantizar el derecho de acceso a la protección de datos personales; a través de la vigilancia del mismo y la presencia del Instituto en el territorio nacional; llevando a cabo el desarrollo de la investigación de una denuncia en particular.,No disponible,IFAI,Aéreo,Aeroméxico,AM 906,Interjet,2115,27/05/2013,28/05/2013,2663,1875,No disponible,No disponible,No disponible,No disponible,No disponible,2023.48,0,No disponible,No aplica
Invitacion,"El Dr. Dante Negro; director del Departamento de Derecho Internacional de la OEA;
extendio la invitacion a JPM como expositora",No disponible,Alto Nivel,2013.I.0019,JACQUELINE PESCHARD MARISCAL,COMISIONADA,HB1,Internacional,ACT-PUB/10/04/2013.03.03,IFAI/JPM/024/2013,México,Distrito Federal,Ciudad de México,Peru,Lima,Lima,450,USD,Capacitación y Cultura de la Transparencia,Ponente,Taller de Alto Nivel sobre el  Acceso Equitativo a la Informacion Publica,No disponible,09/05/2013,10/05/2013,ASISTIR AL TALLER DE ALTO NIVEL SOBRE EL ACCESO EQUITATIVO A LA INFORMACION PUBLICA.,No disponible,"Asistir al taller de alto nivel sobre el acceso equitativo a la información pública. 
Participar en las mesas de trabjo y los talleres de discusión y panelistas en la Mesa ""La labor de las Comisiones de Información Pública y otros entes gubernamentales""",No disponible,Se elaboró un documento con las recomendaciones elaboradas en los talleres de discusión que la OEA entregará al gobierno de Perú de cara a la reforma de la ley de transparencia de ese país.,No disponible,"Secretaria de Asuntos Juridicos de la OEA
",Aéreo,Aeroméxico,AM 18,Aeroméxico,AM 49,08/05/2013,11/05/2013,No disponible,487.05,No disponible,No disponible,No disponible,No disponible,No disponible,487.5,0,No disponible,Organizador Cubrio Gastos
Requerimeinto de UR,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0046,JAIME QUINTERO GARCIA,AUXILIAR DE DIRECCION GENERAL A,PC3,Nacional,No aplica,IFAI/SG/DGCPRI/217/2013,México,Distrito Federal,Ciudad de México,México,Guanajuato,Leon,1250,MXP,Vinculación y Proocion del Derecho,Participacion en evento publico,Feria Nacional del Libro,No disponible,01/05/2013,05/05/2013,ASISTIR A LA FERIA NACIONAL DEL LIBRO PARA PROMOVER Y DIFUNDIR EL EJERCICIO DEL DERECHO DE ACCESO A LA INFORMACION Y PROTECCION DE DATOS PERSONALES A TRAVES DE LA ORIENTACION; ASESORIA Y ENTREGA DE MATERIALES DE DIVULGACION A LAS PERSONAS QUE ASISTAN AL MODULO ITINERANTE DEL CENTRO DE ATENCION A LA SOCIEDAD DEL IFAI QUE SE INSTAURARA EN DICHO EVENTO.,No disponible,Se brindo asesoria a los asistentes a la Feria sobre los procedimientos para ejercer el derecho de acceso a la información pública y a sus datos personalesen poder de dependencias y entidades federales; sobre el uso de herramientas técnologicas desarrolladas por el IFAI.,Se logró dar a conocer información sobre los alcnces de la LFTAIPG; así como de las labores que realiza el IFAI. ,Se posiciona la imagen del órgano garante y contribuye a que las persona conozcan la cultura de la transparencia; acceso a la información; rendición de cuentas y de la protección de datos personales.,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,01/05/2013,05/05/2013,5482,4194.27,IFAI,Mateos 1215,01/05/2013,05/05/2013,1996,3708.6,415.4,876,No aplica
Requerimiento de UR,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0047,MANUEL MARTINEZ MORENO,JEFE DE DEPARTAMENTO DE SEGUIMIENTO Y ENLACE,OC1,Nacional,No aplica,IFAI/SG/DGCPRI/126/2013,México,Distrito Federal,Ciudad de México,México,Morelos,Cuernavaca,1250,MXP,Vinculación con Estados y Municipios,Asistencia,"4to Foro de Análisis Nacional ""La reforma Constitucional en Materia de Transparencia y Acceso a la Información Pública en México""",No disponible,22/03/2013,22/03/2013,No disponible,No disponible,Traslado ida-vuelta a la ciudad de Cuernavaca; asistencia al Foro y elaboración del reporte.,Dar a conocer el desarrollo del derecho de acceso a la información publica,Participar en los eventos de promoción y difusión en materia de transparencia de mayor importancia a nivel nacional.,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,22/03/2013,22/03/2013,62.5,,No aplica,No aplica,No aplica,No aplica,No aplica,190,62.5,372.5,No aplica
Invitación,Gobierto de Querétaro,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Alto nivel,2013.N.0024,CHRISTIAN LARIS CUTIÑO,DIRECTOR DE RELACIONES INTERINSTITUCIONALES Y PUBLICAS,MC2,Nacional,No aplica,IFAI/SG/067/2013,México,Distrito Federal,Ciudad de México,México,Queretaro,Queretaro,1250,MXP,Vinculación con Estados y Municipios,Participacion en evento publico,X ANIVERSARIO DE LA CREACION Y ENTRADA EN FUNCIONES DE LA COMISION ESTATAL DE INFORMACION GUBERNAMENTAL DEL ESTADO DE QUERETARO,No disponible,08/04/2013,08/04/2013,ASISTIR Y PARTICIPAR EN LA CONMEMORACION DEL X ANIVERSARIO DE LA CREACION Y ENTRADA EN FUNCIONES DE LA COMISION ESTATAL DE INFORMACION GUBERNAMENTAL DEL ESTADO DE QUERETARO,No disponible,Participar en el panel sobre la evolución y desarrollo del derecho de acceso a la información pública en México ante estudiantes; servidores públicos y miembros de la sociedad civil interesados en el tema.,Dar a conocer la situación que guarda el Derecho de Acceso a la Información en nuestro país.,Promover y difundir el conocimiento del derecho de acceso a la información pública en los eventos organizados por los Institutos de Transparencia de los Estados.,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,08/04/2013,08/04/2013,883.94,552.5,IFAI,Holiday Inn,08/04/2013,08/04/2013,168.97,1343.94,62.5,No disponible,No aplica
Invitacion,Asociacion Internacional de Profesionales de Privacidad,Secratría General,Alto nivel,2013.I.0007,ALFONSO OÑATE LABORDE,SECRETARIO DE PROTECCION DE DATOS PERSONALES,IA1,Internacional,No disponible,IFAI/SG/048/2013,México,Distrito Federal,Ciudad de México,Estados Unidos de America,Washington,Washington D. C.,450,USD,Asuntos Internacionales,Reunion de trabajo,Cumbre Global de Privacidad 2013 de la Asociación Internacional de Profesionales de Privacidad,No disponible,06/03/2013,10/03/2013,SE EXTIENDE EL PERIODO DE LA COMISION DERIVADO DE LA PARTICIPACION EN UNA REUNION CON LA FTC; EL DIA 9 MARZO; PARA APROVECHAR EL RECIENTE NOMBRAMIENTO DE SU NUEVA PRESIDENTA EDITH RAMIREZ.,"El evento IAPP Global Privacy Summit es una conferencia anual que se lleva a cabo en Washington; ha ido creciendo desde el nivel nacional hasta el nivel global. Su diseño y organizacion estan enfocados a que los diversos asistentes como autoridades; gobiernos; empresas y sociedad civil; se permeen de los temas mas novedosos y con mayor impacto en la privacidad y proteccion de datos personales.  
Brinda la oportunidad a sus asistentes de aprender de los mas grandes especialistas en privacidad y proteccion de datos; conocer las opiniones y posturas de los representantes de las autoridades de privacidad y proteccion de datos de varios paises.  ","El secretario de proteccion de datos personales participo como ponente en la mesa de discusion Beyond Europe. A traves del secretario de proteccion de datos; se enfatizo la necesidad de realizar TIDs en un mundo global. Explico que la opcion de cerrar las fronteras no es viable aun que ofrezca mayor control porque conllevaria al aislamiento de la economia.   
Otro tema abordado fue el del Marco de Puerto Seguro; otro mecanismo para facilitar las TIDs entre Europa y paises europeos; que no cuentan con un reconocimiento    ",Derivado de dicha conversacion; el miercoles 13 de marzo 2013 se recibio un mail de Wills Catling con una oferta inicial para certificar a 5 funcionarios del Instituto; proporcionando capacitacion en linea y el material necesario; con un descuento del 50% del costo comercial.,"Durante el evento del IAPP Global Privacy Summit; en Washington; D. C. se tuvo contacto con Wills Catling; director de Alianzas Corporativas de la IAPP; con quien se discutio de las diversas opciones que ofrece la IAPP para obtener la certificacion de dicha asociacion por parte de diversos funcionarios del Instituto. Se discutio sobre la posibilidad de contar con capacitacion en persona y en linea; asi como material y la realizacion de los examenes correspondientes en sitio. 
  ",No disponible,IFAI,Aereo,AeroMéxico,AM 622,AeroMéxico,AM 623,06/03/2013,10/03/2013,7610,22824.97,No disponible,No disponible,No disponible,No disponible,No disponible,9396,No disponible,No disponible,No aplica
